split,group,threshold,accuracy,f1,precision,recall,roc_auc,pr_auc,severity_accuracy_pseudo,severity_macro_f1_pseudo,n
test,all,0.32,0.7545638945233266,0.708433734939759,0.6837209302325581,0.735,0.8122696245733788,0.7204084138364568,0.7281947261663286,0.6863003066049798,493
test,human,0.32,0.7636363636363637,0.6666666666666666,0.6190476190476191,0.7222222222222222,0.850975975975976,0.6613787457199435,0.7545454545454545,0.6260373811888211,110
test,asr,0.32,0.7458745874587459,0.6695278969957081,0.6446280991735537,0.6964285714285714,0.7790295437546747,0.6501591188766266,0.7194719471947195,0.6808092006033183,303
test,missing,0.32,0.775,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8125,0.8913028053511272,0.725,0.7066666666666667,80
train,all,0.32,0.8976034858387799,0.8775403856175091,0.8539553752535497,0.902465166130761,0.9507387786386894,0.9247549971003588,0.8004357298474946,0.7515396809690599,2295
train,human,0.32,0.9512195121951219,0.9195402298850575,0.898876404494382,0.9411764705882353,0.9745049504950495,0.9378434886375203,0.8362369337979094,0.7788828683660621,574
train,asr,0.32,0.8736383442265795,0.8497409326424871,0.8241206030150754,0.8770053475935828,0.9375240292195308,0.9118610668384388,0.7603485838779956,0.7144326901965024,1377
train,missing,0.32,0.9040697674418605,0.9200968523002422,0.9004739336492891,0.9405940594059405,0.9448298703109747,0.9494117063208665,0.9011627906976745,0.8976190476190475,344
val,all,0.32,0.7849898580121704,0.7464114832535885,0.7155963302752294,0.78,0.829948805460751,0.7781821627902455,0.7139959432048681,0.6609794883327911,493
val,human,0.32,0.8524590163934426,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.8810599217103282,0.7697854099976145,0.7868852459016393,0.7798100490196078,122
val,asr,0.32,0.7491289198606271,0.6869565217391305,0.6583333333333333,0.7181818181818181,0.7743708269131998,0.7047736379709373,0.6550522648083623,0.6058167844558289,287
val,missing,0.32,0.8095238095238095,0.8461538461538461,0.8,0.8979591836734694,0.8967930029154518,0.9333766846272933,0.8095238095238095,0.8003565062388591,84
