split,group,threshold,accuracy,f1,precision,recall,roc_auc,pr_auc,severity_accuracy_pseudo,severity_macro_f1_pseudo,n
test,all,0.31,0.8438133874239351,0.8188235294117647,0.7981651376146789,0.8405797101449275,0.9303570825309956,0.908961106350427,0.7058823529411765,0.6637554474510996,493
test,human,0.31,0.8454545454545455,0.7792207792207793,0.7692307692307693,0.7894736842105263,0.9217836257309941,0.846759306522104,0.6909090909090909,0.5046149789029536,110
test,asr,0.31,0.834983498349835,0.7933884297520661,0.7559055118110236,0.8347826086956521,0.9266882516188715,0.8942577170782071,0.735973597359736,0.6931125551105571,303
test,missing,0.31,0.875,0.9056603773584906,0.9230769230769231,0.8888888888888888,0.938034188034188,0.968400593907359,0.6125,0.6119543107494915,80
train,all,0.31,0.8727668845315905,0.843010752688172,0.8367129135538954,0.8494041170097508,0.9424052162267166,0.9278526291290589,0.6806100217864923,0.6372595409259089,2295
train,human,0.31,0.9320557491289199,0.8814589665653495,0.8895705521472392,0.8734939759036144,0.965272856130404,0.9329839387087345,0.7073170731707317,0.6380328341013826,574
train,asr,0.31,0.8424110384894699,0.8050314465408805,0.797153024911032,0.8130671506352087,0.9240781673646419,0.908028139156552,0.6615831517792302,0.6158224088418472,1377
train,missing,0.31,0.8953488372093024,0.9138755980861244,0.9009433962264151,0.9271844660194175,0.9590016884761503,0.9727025739709825,0.7122093023255814,0.7111327876500275,344
val,all,0.31,0.8600405679513184,0.8270676691729323,0.7932692307692307,0.8638743455497382,0.9281404944350058,0.9031491737635916,0.7139959432048681,0.643561368962281,493
val,human,0.31,0.9098360655737705,0.8571428571428571,0.868421052631579,0.8461538461538461,0.9298733395118938,0.8717687114712073,0.7213114754098361,0.6815958815958816,122
val,asr,0.31,0.8257839721254355,0.7706422018348624,0.7241379310344828,0.8235294117647058,0.9047694753577107,0.8558973067908119,0.6968641114982579,0.6217908238038743,287
val,missing,0.31,0.9047619047619048,0.9230769230769231,0.8888888888888888,0.96,0.9776470588235295,0.9851317926299632,0.7619047619047619,0.761769710720363,84
